#,ID,Source,Country,Group,Subject,Level,Question,BackStory,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
782,781,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,انت تقود سيارتك بسرعة فوجئت بعدم وجود فرامل، فماذا تفعل؟,كان خالد يقود سيارته بسرعة على طريق سريع. فجأة، اكتشف أن الفرامل لا تعمل. قرأ خالد سابقًا دليل قيادة الطوارئ، والذي ينص على:"في حالة تعطل الفرامل أثناء القيادة، يجب استخدام الغيار العكسي (المحرك) لتقليل السرعة تدريجيًا."أدرك خالد أن هناك طرقًا مختلفة لمحاولة إيقاف السيارة، لكنه تذكر ما قرأه في الدليل وقرر استخدام الغيار العكسي.في المقابل، كان ماجد يقود سيارته في نفس الظروف، لكنه لم يقرأ الدليل من قبل ولم يتعلم عن هذه الطريقة. عندما تعطلت فرامله، اعتقد أن أفضل حل هو شد فرامل اليد بسرعة.,,C,اشد فرامل اليد بسرعة,ادخل في المناطق الزراعية والخالية,استخدم الغيار العكسي,,,0
783,782,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,ضعف عزم المتور اثناء القيادة يكون احد اسبابه نسيان فرامل اليد اثناء المشي بالسيارة,كان ياسر يقود سيارته وشعر بأن المحرك ضعيف وغير قادر على التسارع بشكل جيد. قرأ ياسر سابقًا دليل صيانة السيارات، والذي ينص على:"نسيان فرامل اليد مرفوعة أثناء القيادة يمكن أن يؤدي إلى ضعف عزم المحرك."عندما لاحظ المشكلة، تأكد ياسر من أن فرامل اليد مرفوعة قليلًا وقام بإنزالها، فعاد المحرك إلى طبيعته.في المقابل، كان عمر يقود سيارته وواجه نفس المشكلة، لكنه لم يقرأ الدليل من قبل. عندما شعر بضعف عزم المحرك، اعتقد أن السبب هو قلة الزيت في المحرك.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
784,783,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,لا يجوز الاتجاه عكس اتجاه حركة المرور.,السيناريو:كان خالد يقود سيارته في أحد الشوارع الرئيسية. قرأ خالد سابقًا قانون المرور، والذي ينص على:"يحظر تمامًا السير عكس اتجاه حركة المرور، لما يشكله من خطر على السلامة العامة."ذات يوم، كان خالد في طريقه إلى العمل ورأى سيارة تسير عكس الاتجاه، مما تسبب في ارتباك كبير وحادث مروري. أدرك خالد أن هذا التصرف غير قانوني وخطير للغاية.في المقابل، كان فهد يقود سيارته في نفس المنطقة، لكنه لم يطلع على قوانين المرور مسبقًا. عندما رأى أحد السائقين يسير عكس الاتجاه، ظن أنه يُسمح بذلك في بعض الحالات لتوفير الوقت.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
785,784,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,يجوز عند الضرورة جلوس الطفل دون سن السابعة في المقاعد الأمامية,كانت ليلى تقود سيارتها مع ابنها البالغ من العمر خمس سنوات. قرأت ليلى مسبقًا دليل السلامة المرورية، والذي ينص على:"يمنع تمامًا جلوس الأطفال دون سن السابعة في المقاعد الأمامية، حتى في حالات الضرورة، حفاظًا على سلامتهم في حال وقوع حادث."ذات يوم، شاهدت ليلى أحد السائقين يسمح لطفله الصغير بالجلوس في المقعد الأمامي. قامت بتنبيهه بأن هذا مخالف للقوانين ويشكل خطرًا على الطفل.أما عماد، فلم يقرأ أي قوانين مرور من قبل. عندما اضطر لنقل طفل صغير، سمح له بالجلوس في المقعد الأمامي، معتقدًا أنه يجوز ذلك في الحالات الاستثنائية.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
786,785,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,كنت تسير في الشبورة المائية فماذا تفعل؟,كان خالد يقود سيارته في طريق سريع عندما بدأت الشبورة المائية (الضباب الكثيف) بالظهور. تذكر خالد ما قرأه في دليل القيادة الآمنة، والذي ينص على:"عند القيادة في الشبورة المائية، يجب تهدئة السرعة واستخدام إشارات التحذير (صفارة الانتظار) لتجنب الحوادث."على الجانب الآخر، كان صديقه سامر يقود في نفس الظروف، لكنه لم يطّلع مسبقًا على نصائح القيادة في الضباب. عندما رأى سيارة أمامه، ظن أن اتباعها بسرعة سيكون الطريقة الأفضل للقيادة في الضباب، معتقدًا أن السائق أمامه يعرف الطريق جيدًا.,,A,اقوم بتهدأة السرعة مع استخدام صفارة الانتظار,زيادة السرعة لملاحقة السيارة التي امامي حتى تكون دليلي في الطريق,اقوم بفتح النوافذ واستخدام المساحات والسير بالسرعة العادية,,,0
787,786,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,الكشف على الزيت عن طريق المقياس المعد لقياس الزيت لا بد ان لا يزيد عن العلامة العليا وان لا يقل عن العلامة السفلى.,أحمد يعمل ميكانيكي سيارات، وقرأ في دليل الصيانة أن:"يجب أن يكون مستوى الزيت بين العلامة العليا والعلامة السفلى على المقياس، فلا يزيد عن العلامة العليا ولا يقل عن السفلى."أما صديقه يوسف، فلم يطلع على هذا الدليل، ويعتقد أن زيادة مستوى الزيت عن العلامة العليا لا تؤثر على المحرك.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
788,787,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,عند ارتفاع حرارة المحرك يكون احد الاسباب توقف مروحة تبريد المحرك.,كان ياسر يواجه مشكلة في سيارته، حيث لاحظ ارتفاع حرارة المحرك أثناء القيادة. قرأ في دليل صيانة السيارة:"من الأسباب الشائعة لارتفاع درجة حرارة المحرك توقف مروحة التبريد عن العمل، مما يؤدي إلى عدم تبريد سائل التبريد بشكل كافٍ."أما صديقه خالد، فلم يطّلع على دليل السيارة من قبل، لكنه سمع من أحد الميكانيكيين أن ارتفاع الحرارة يكون دائمًا بسبب نقص ماء الراديتر فقط، دون النظر إلى الأسباب الأخرى.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
789,788,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,على قائد المركبة ان يلتزم دائما بحارة السير المخصصة له,كان أحمد يقود سيارته على الطريق السريع، وقرأ لافتة مرورية تقول:"يجب على جميع السائقين الالتزام بحارة السير المخصصة لهم وعدم تغييرها إلا عند الضرورة مع استخدام الإشارات التنبيهية."أما صديقه خالد، فقد تعلم القيادة من والده، الذي أخبره أنه يمكنه تغيير الحارات بحرية طالما أن الطريق فارغ، دون الحاجة إلى إشارات أو النظر في المرآة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
790,789,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,يمكن الرجوع بسيارتك للخلف لمسافة خمسون مترا.,كان خالد يتدرب على القيادة في أحد الميادين، وقرأ في دليل تعليم القيادة:"يُمنع الرجوع بالمركبة للخلف لمسافة طويلة، إلا في حالات الضرورة القصوى، وبما لا يتجاوز المسافة المطلوبة لإتمام المناورة بأمان."أما صديقه عمر، فقد تعلم القيادة من أحد أقاربه، الذي أخبره أنه يمكن الرجوع بالسيارة للخلف لمسافة طويلة طالما أن الطريق خالٍ من السيارات.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
791,790,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,وانت تقود فوق كبري انفجرت احد الاطارات، ماذا تفعل؟,كان يوسف يحضر دورة في السلامة المرورية، وقرأ في دليل القيادة:"عند انفجار أحد الإطارات أثناء القيادة فوق كوبري، يُنصح بعدم التوقف لتغيير الإطار فوق الكوبري. بدلاً من ذلك، يجب النزول إلى مكان آمن بعيد عن حركة المرور لإجراء التغيير بأمان."أما صديقه كريم، فقد تعلم القيادة من شخص آخر، وأخبره أنه يمكن تغيير الإطار في أي مكان طالما أنه يستخدم الإشارات التحذيرية.,,B,اقوم بوضع علامة ارشادية واقوم بتغيير العجلة فوق الكبري,انزل من فوق الكبري واغيرها في مكان اخر,اقف مكاني واحاول تغيير الاطارات بسرعة,,,0
7179,7178,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,فرع محاسبً ٌهدف إلى التحقق من صحة وسالمة المعلومات المالٌة بما ٌضفى مزٌداً من الثقـة على هذه المعلومات,قرأ خالد في كتاب المحاسبة أن:"المراجعة هي فرع من فروع المحاسبة يهدف إلى التحقق من صحة وسلامة المعلومات المالية، مما يضفي مزيدًا من الثقة على هذه المعلومات."أما صديقه سامي، فقد درس المحاسبة الحكومية فقط ولم يطلع على تعريف المراجعة. لذلك، يعتقد أن التحقق من صحة المعلومات المالية هو من اختصاص المحاسبة الحكومية.,,C,المحاسبة الحكومٌة,المحاسبة الدولٌة,المراجعة,المحاسبة االجتماعٌة,,0
7180,7179,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,من الخصائص النوعٌة للمعلومات المحاسبٌة,محمد يدرس المحاسبة، وقرأ في كتابه أن:"الخصائص النوعية للمعلومات المحاسبية تشمل الملاءمة، والمصداقية، والقابلية للمقارنة."أما صديقه أحمد، فلم يقرأ هذا الكتاب ويعتقد أن المصداقية فقط هي الخاصية الأهم للمعلومات المحاسبية.,,D,المالءمة,المصداقٌة,القابلٌة للمقارنة,كل ما سبق,,0
7181,7180,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,مختبر ٌعد بغرض التحقق من صحة تسجٌل العملٌـات وترحٌلها وترصٌدها ، وٌعتبر مقدمـة أساسٌة إلعداد القوائم المالٌة,درس خالد في كتاب المحاسبة أن:"ميزان المراجعة يُعد بغرض التحقق من صحة تسجيل العمليات وترحيلها وترصيدها، ويُعتبر مقدمة أساسية لإعداد القوائم المالية."أما صديقه سامي، فلم يقرأ هذا الكتاب ويعتقد أن دفتر الأستاذ هو الأداة الأساسية للتحقق من صحة التسجيلات المحاسبية.,,C,دفتر الٌومٌة,دفتر األستاذ,مٌزان المراجعة,الشىء مما سبق,,0
7182,7181,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,فرض محاسبى ٌقضى بؤن للمنشؤة كٌان قانونى مستقل وٌتم التعـامل باسمها ولها سجالتهـا وحساباتها المنفصلة عن المالك,قرأت سارة في كتاب المحاسبة أن:"فرض الشخصية المعنوية يقضي بأن للمنشأة كيان قانوني مستقل، ويتم التعامل باسمها، ولها سجلاتها وحساباتها المنفصلة عن المالك."أما صديقها يوسف، فلم يقرأ هذا الكتاب ويعتقد أن فرض الاستمرارية هو الذي يعني أن المنشأة تُعامل ككيان مستقل عن مالكها.,,B,االستمرارٌة,الشخصٌة المعنوٌة,الفترٌة,القٌاس النقدي,,0
7183,7182,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,قاعدة محاسبٌة ٌتم بمقتضاها مقارنة اإلٌرادات التى تخص الفترة المحاسبٌـة بالمصروفات المرتبطة بها من أجل تحدٌد نتٌجة نشاط المنشؤة خالل تلك الفترة,قرأت ليلى في كتاب المحاسبة أن:"قاعدة المقابلة تُستخدم لمقارنة الإيرادات التي تخص الفترة المحاسبية بالمصروفات المرتبطة بها، من أجل تحديد نتيجة نشاط المنشأة خلال تلك الفترة."أما صديقها خالد، فلم يقرأ هذا الكتاب ويعتقد أن "تحقق الإيراد" هو القاعدة التي تتعلق بمقارنة الإيرادات بالمصروفات.,,C,التكلفة التارٌخٌة,تحقق اإلٌراد,المقابلة,الشىء مما سبق,,0
7184,7183,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,فرع محاسبً ٌوفر معلومات للمستفٌدٌن الخارجٌٌن,قرأت سارة في كتاب المحاسبة أن:"المحاسبة المالية هي الفرع الذي يوفر معلومات للمستفيدين الخارجيين، مثل المستثمرين والمقرضين والجهات الحكومية."أما زميلها يوسف، فلم يقرأ هذا الكتاب ويعتقد أن محاسبة التكاليف هي الفرع الذي يقدم المعلومات للمستفيدين الخارجيين.,,A,المحاسبة المالٌة,محاسبة التكالٌف,المحاسبة اإلدارٌة,ال شىء مما سبق,,0
7185,7184,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,ما تقتنٌه المنشؤة بهدف القٌام بالنشاط الرئٌسً لها ولٌس بغرض الاتجار فٌه,قرأ خالد في كتاب المحاسبة أن:"الأصول الثابتة هي الأصول التي تقتنيها المنشأة للقيام بنشاطها الرئيسي وليس بغرض الاتجار فيها، مثل الآلات والمباني والمعدات."أما صديقه علي، فلم يقرأ هذا الكتاب ويعتقد أن الأصول المتداولة هي التي تقتنيها المنشأة لهذا الغرض.,,A,األصول الثابتة,األصول المتداولة,اإللتزامات طوٌلة األجل,الشىء مما سبق,,0
7186,7185,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,من الأخطاء التى ال تإثر على توازن مٌزان المراجعة,قام أحمد بدراسة المحاسبة وقرأ في كتاب المحاسبة أن:"هناك بعض الأخطاء المحاسبية التي لا تؤثر على توازن ميزان المراجعة، مثل أخطاء الحذف الكلي، والأخطاء العوضية أو التكافئية."أما صديقه محمد، فلم يقرأ هذا الكتاب ويعتقد أن أخطاء الحذف الكلي فقط هي التي لا تؤثر على توازن ميزان المراجعة.,,D,أخطاء الحذف الكلً,األخطاء العوضٌة أو التكافإٌة,األخطاء العوضٌة أو التكافإٌة,كل ما سبق,,0
7187,7186,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,خصم ٌؤخذ صورة نسبة تصاعدٌة وفقاً لكمٌة أو قٌمة البضاعة المشتراة أو المباعة,قرأ خالد في كتاب المحاسبة أن:"خصم الكمية هو خصم يُمنح بصورة نسبة تصاعدية وفقًا لكمية أو قيمة البضاعة المشتراة أو المباعة."أما صديقه حسن، فلم يقرأ الكتاب، وبدلًا من ذلك، سمع من أحد زملائه أن الخصم النقدي هو الذي يُمنح بناءً على كمية المشتريات.,,B,الخصم التجارى,خصم الكمٌة,الخصم النقدى,كل ما سبق,,0
7188,7187,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,قاعدة محاسبٌة ٌتم بمقتضاها أخذ الخسائر المحتملة فى الحسبان وعدم أخذ الأرباح غٌر المحققة وذلك عند تحدٌد دخل الفترة المحاسبٌة,درس عمر في مقرر المحاسبة أن:"مبدأ الحيطة والحذر هو قاعدة محاسبية يتم بمقتضاها أخذ الخسائر المحتملة في الحسبان، وعدم أخذ الأرباح غير المحققة، وذلك عند تحديد دخل الفترة المحاسبية."بينما صديقه سامر لم يدرس هذا المبدأ، ولكنه سمع من أحد زملائه أن الإفصاح الكامل هو القاعدة التي تحكم التعامل مع الأرباح والخسائر المحتملة.,,B,التكلفة والعائد,التكلفة والعائد,اإلفصاح الكامل,الشىء مما سبق,,0
7189,7188,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,تعبرعن تدفقات خارجة من النقدٌة وغٌرها من الأصول الاخرى مقابل الحصول على اإلٌراد,حضر أحمد محاضرة في المحاسبة المالية، وتعلم أن:"المصروفات تعبر عن تدفقات خارجة من النقدية وغيرها من الأصول الأخرى مقابل الحصول على الإيراد."بينما لم يحضر زميله كريم تلك المحاضرة، لكنه سمع من أحد أصدقائه أن الإيرادات هي التي تعبر عن التدفقات الخارجة من النقدية.,,C,اإلٌرادات,اإللتزامات,المصروفات,الشىء مما سبق,,0
7190,7189,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,ورقة تجارٌة تعد بمثابة تعهد كتابى صادر من المدٌن للدائن بدفع مبلغ معٌن فى تارٌخ معٌن,حضرت سارة محاضرة في المحاسبة المالية، وتعلمت أن:"السند الأذني هو ورقة تجارية تعد بمثابة تعهد كتابي صادر من المدين للدائن بدفع مبلغ معين في تاريخ معين."بينما لم يحضر زميلها خالد تلك المحاضرة، لكنه سمع من أحد أصدقائه أن الكمبيالة هي الورقة التي تتضمن تعهدًا بالدفع من المدين للدائن.,,B,الشٌك,السند األذنى,الكمبٌالة,ال شىء مما سبق,,0
7191,7190,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,أى من البنود التالٌة ٌظهر فى كل من الحسابات الختامٌة وقائمة المركز المالً للمنشؤة,درس أحمد القوائم المالية وتعلم من كتاب المحاسبة أن:"بضاعة آخر المدة تظهر في كل من الحسابات الختامية (في حساب المتاجرة) وقائمة المركز المالي (ضمن الأصول المتداولة)."بينما لم يدرس زميله يوسف هذا الموضوع، لكنه سمع من أحد أصدقائه أن مجمل الربح أو الخسارة هو العنصر الذي يظهر في كلتا القائمتين.,,B,بضاعة أول المدة,بضاعة أخر المدة,مجمل الربح أو الخسارة,الشىء مما سبق,,0
7192,7191,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,أى من البنود اآلتٌة ٌعد رصٌده الطبٌعً دائنا,كان خالد يدرس المحاسبة وقرأ في كتابه أن:"الحسابات ذات الرصيد الطبيعي الدائن تشمل الالتزامات وحقوق الملكية، مثل أوراق الدفع ورأس المال والإيرادات."بينما لم يدرس صديقه سامر هذا الموضوع لكنه افترض أن أوراق القبض لها رصيد دائن لأنها تتعلق بالمستحقات المالية.,,D,األثاث,العمالء,أوراق القبض,أوراق الدفع,,0
7193,7192,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,ال تعد من قبٌل المصروفات اإلٌرادٌة للسٌارات,كان أحمد يدرس المحاسبة وقرأ في كتابه أن:"المصروفات الإيرادية تشمل النفقات التي تُنفق بشكل دوري للحفاظ على الأصول في حالتها التشغيلية، مثل الصيانة الدورية والزيوت والوقود، أما المصروفات الرأسمالية أو النفقات غير الإيرادية فهي تلك التي تضيف قيمة طويلة الأجل للأصل."بينما لم يدرس صديقه كريم هذا الموضوع، لكنه افترض أن أتعاب التخليص الجمركي جزء من المصروفات الإيرادية للسيارات.,,C,نفقات تجدٌد رخصة السٌارة,نفقات الصٌانة الدورٌة,أتعاب التخلٌص الجمركى,نفقات الزٌوت والوقود,,0
7194,7193,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,تخفٌض جزء من قٌمـة البضــاعة المشتراة غٌر المطـابقة للمـواصفات بدالً من ردهـا ٌسمى فً دفاتر المشتري,درس حسن المحاسبة وعلم أن:"عندما يوافق البائع على تخفيض جزء من قيمة البضاعة المشتراة بسبب عدم مطابقتها للمواصفات، ولكن دون إرجاعها، فإن هذا يُسجل في دفاتر المشتري على أنه مسموحات المشتريات."بينما لم يدرس صديقه خالد هذا المفهوم، فافترض أن هذا التخفيض يُسجل على أنه مردودات المشتريات.,,B,مردودات المشترٌات,مسموحات المشترٌات,خصم مسموح به,مسموحات المبٌعات,,0
7195,7194,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,أى من أنواع الخصم التالٌة ال ٌسجل فً الدفاتر المحاسبٌة,درس خالد المحاسبة وتعلم أن:"الخصم التجاري هو تخفيض يمنحه البائع للمشتري على سعر البضاعة، وعادةً لا يُسجل في الدفاتر المحاسبية لأنه يُمنح قبل تسجيل العملية في الدفاتر."بينما لم يدرس صديقه سامي هذا المفهوم، فافترض أن جميع أنواع الخصومات تُسجل في الدفاتر المحاسبية.,,B,الخصم النقدي,الخصم التجاري,خصم الكمٌة,كل ما سبق,,0
7196,7195,http://www.aun.edu.eg/commerce/sites/default/files/pdf/Question/Question-bank-2021-a1-3.pdf,Egypt,Social Science,Accounting,Univ,قاعدة محاسبٌة تقضىً بؤن المعلومات الواردة فً القوائم المالٌة ٌجب أن تبنى على حقائق فعلٌة وتكون قابلة للتحقق وبعٌدة عن التحٌز والتقدٌر الشخصً,قرأ علي في كتاب المحاسبة أن:"الموضوعية تعني أن المعلومات المالية يجب أن تستند إلى حقائق فعلية، وأن تكون قابلة للتحقق، وبعيدة عن التحيز والتقديرات الشخصية."أما صديقه ماجد، فلم يقرأ عن هذا المفهوم، واعتقد أن جميع القواعد المحاسبية تعتمد بشكل أساسي على التقدير الشخصي.,,C,الثبات,األهمٌة النسبٌة,الموضوعٌة,الشىء مما سبق,,0
